Model,Camera,Class,Confidence,Inference Time (ms),Frame Index
yolo11,Cam 0,Crowd,0.68603515625,7.025682993116789,6
yolo11,Cam 0,Crowd,0.662109375,7.025682993116789,6
yolo11,Cam 0,Crowd,0.642578125,7.025682993116789,6
yolo11,Cam 0,Crowd,0.5888671875,7.025682993116789,6
yolo11,Cam 0,Crowd,0.56201171875,7.025682993116789,6
yolo11,Cam 0,Crowd,0.5546875,7.025682993116789,6
yolo11,Cam 0,Crowd,0.544921875,7.025682993116789,6
yolo11,Cam 0,Crowd,0.537109375,7.025682993116789,6
yolo11,Cam 0,Crowd,0.5,7.025682993116789,6
yolo11,Cam 0,Crowd,0.48828125,7.025682993116789,6
yolo11,Cam 0,Crowd,0.43408203125,7.025682993116789,6
yolo11,Cam 0,Crowd,0.32763671875,7.025682993116789,6
yolo11,Cam 0,Crowd,0.71875,7.343616001890041,7
yolo11,Cam 0,Crowd,0.70751953125,7.343616001890041,7
yolo11,Cam 0,Crowd,0.68408203125,7.343616001890041,7
yolo11,Cam 0,Crowd,0.6689453125,7.343616001890041,7
yolo11,Cam 0,Crowd,0.66357421875,7.343616001890041,7
yolo11,Cam 0,Crowd,0.5927734375,7.343616001890041,7
yolo11,Cam 0,Crowd,0.546875,7.343616001890041,7
yolo11,Cam 0,Crowd,0.51953125,7.343616001890041,7
yolo11,Cam 0,Crowd,0.50390625,7.343616001890041,7
yolo11,Cam 0,Crowd,0.498046875,7.343616001890041,7
yolo11,Cam 0,Crowd,0.482421875,7.343616001890041,7
yolo11,Cam 0,Crowd,0.4111328125,7.343616001890041,7
yolo11,Cam 0,Crowd,0.404541015625,7.343616001890041,7
yolo11,Cam 0,Crowd,0.3310546875,7.343616001890041,7
yolo11,Cam 0,Crowd,0.257568359375,7.343616001890041,7
yolo11,Cam 0,Crowd,0.7734375,6.74350999906892,8
yolo11,Cam 0,Crowd,0.7646484375,6.74350999906892,8
yolo11,Cam 0,Crowd,0.69287109375,6.74350999906892,8
yolo11,Cam 0,Crowd,0.6875,6.74350999906892,8
yolo11,Cam 0,Crowd,0.66552734375,6.74350999906892,8
yolo11,Cam 0,Crowd,0.63330078125,6.74350999906892,8
yolo11,Cam 0,Crowd,0.5546875,6.74350999906892,8
yolo11,Cam 0,Crowd,0.52734375,6.74350999906892,8
yolo11,Cam 0,Crowd,0.521484375,6.74350999906892,8
yolo11,Cam 0,Crowd,0.478515625,6.74350999906892,8
yolo11,Cam 0,Crowd,0.451416015625,6.74350999906892,8
yolo11,Cam 0,Crowd,0.437744140625,6.74350999906892,8
yolo11,Cam 0,Crowd,0.3720703125,6.74350999906892,8
yolo11,Cam 0,Crowd,0.269775390625,6.74350999906892,8
yolo11,Cam 0,Crowd,0.72802734375,6.9028959987917915,9
yolo11,Cam 0,Crowd,0.6943359375,6.9028959987917915,9
yolo11,Cam 0,Crowd,0.6875,6.9028959987917915,9
yolo11,Cam 0,Crowd,0.67236328125,6.9028959987917915,9
yolo11,Cam 0,Crowd,0.6259765625,6.9028959987917915,9
yolo11,Cam 0,Crowd,0.61669921875,6.9028959987917915,9
yolo11,Cam 0,Crowd,0.609375,6.9028959987917915,9
yolo11,Cam 0,Crowd,0.541015625,6.9028959987917915,9
yolo11,Cam 0,Crowd,0.529296875,6.9028959987917915,9
yolo11,Cam 0,Crowd,0.517578125,6.9028959987917915,9
yolo11,Cam 0,Crowd,0.4921875,6.9028959987917915,9
yolo11,Cam 0,Crowd,0.440673828125,6.9028959987917915,9
yolo11,Cam 0,Crowd,0.29833984375,6.9028959987917915,9
yolo11,Cam 0,Crowd,0.290283203125,6.9028959987917915,9
yolo11,Cam 0,Crowd,0.71533203125,6.859102999442257,10
