epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,65.8864,0.9555,0.91271,0.94673,0.87149,0.87374,0.883,0.6921,0.93541,0.75783,0.99828,0.000885523,0.000885523,0.000885523
43,67.4167,0.97533,0.94046,0.95769,0.88074,0.87919,0.89429,0.70189,0.94081,0.75558,0.98425,0.000880023,0.000880023,0.000880023
44,68.9587,0.99919,0.91609,0.92971,0.88423,0.88024,0.88538,0.70123,0.91299,0.75917,0.98582,0.000874524,0.000874524,0.000874524
45,70.5008,0.94751,0.89213,0.93083,0.877,0.89101,0.89018,0.70624,0.9145,0.75575,0.98821,0.000869024,0.000869024,0.000869024
46,72.0716,0.92562,0.89346,0.93724,0.87364,0.8856,0.88505,0.68779,0.90667,0.77615,0.96877,0.000863525,0.000863525,0.000863525
47,73.5762,0.89148,0.84579,0.92135,0.85106,0.89601,0.88561,0.6911,0.90994,0.771,0.97078,0.000858025,0.000858025,0.000858025
48,75.1129,0.9023,0.8519,0.90011,0.8699,0.87605,0.88641,0.69848,0.89743,0.79225,0.98057,0.000852526,0.000852526,0.000852526
49,76.6252,0.95262,0.89732,0.93201,0.86657,0.90475,0.88375,0.6939,0.91703,0.79423,0.9912,0.000847026,0.000847026,0.000847026
50,78.2194,0.94237,0.87854,0.93336,0.88924,0.85592,0.89531,0.70746,0.89593,0.74292,0.98748,0.000841527,0.000841527,0.000841527
51,79.7458,0.96213,0.88707,0.95363,0.87503,0.8847,0.89419,0.69274,0.93055,0.76769,0.98295,0.000836027,0.000836027,0.000836027
52,81.2834,0.93794,0.86063,0.92762,0.86034,0.89958,0.89688,0.69807,0.91046,0.78308,0.98228,0.000830528,0.000830528,0.000830528
53,82.7971,0.93468,0.85493,0.92276,0.86631,0.89647,0.89086,0.69424,0.91171,0.79944,0.98851,0.000825029,0.000825029,0.000825029
54,84.3256,0.96608,0.85602,0.93154,0.86146,0.88628,0.89799,0.68736,0.94956,0.78781,0.98562,0.000819529,0.000819529,0.000819529
55,85.8545,0.90139,0.81331,0.92405,0.86301,0.89579,0.89777,0.71023,0.88955,0.73627,0.98002,0.00081403,0.00081403,0.00081403
56,87.3985,0.91612,0.78726,0.90511,0.85194,0.89029,0.89699,0.70634,0.88258,0.75449,0.97129,0.00080853,0.00080853,0.00080853
57,88.9196,0.92485,0.7889,0.9221,0.87257,0.89184,0.89153,0.71824,0.84555,0.725,0.96757,0.000803031,0.000803031,0.000803031
58,90.4778,0.9415,0.88994,0.94295,0.87028,0.86718,0.884,0.70281,0.86772,0.7702,0.97411,0.000797531,0.000797531,0.000797531
59,91.9861,0.91335,0.8086,0.90677,0.83777,0.88899,0.88644,0.70599,0.86459,0.77621,0.98048,0.000792032,0.000792032,0.000792032
60,93.4972,0.86778,0.79948,0.90726,0.87813,0.84517,0.90068,0.70482,0.87522,0.78974,0.97769,0.000786532,0.000786532,0.000786532
61,95.0051,0.84242,0.78199,0.89285,0.84316,0.8868,0.8902,0.69548,0.86465,0.83032,0.96524,0.000781033,0.000781033,0.000781033
62,96.5287,0.88883,0.81688,0.90671,0.84384,0.90294,0.88214,0.68694,0.87022,0.78033,0.9706,0.000775534,0.000775534,0.000775534
63,98.0617,0.91051,0.79626,0.90384,0.85902,0.88179,0.89693,0.7154,0.86097,0.76451,0.96291,0.000770034,0.000770034,0.000770034
64,99.6068,0.9119,0.80676,0.92254,0.87137,0.91345,0.91864,0.73355,0.84518,0.72959,0.95952,0.000764535,0.000764535,0.000764535
65,101.141,0.9101,0.78836,0.91127,0.88284,0.91156,0.91614,0.71184,0.88871,0.69918,0.98245,0.000759035,0.000759035,0.000759035
66,102.685,0.85864,0.77557,0.90808,0.8735,0.89665,0.89068,0.71077,0.8725,0.70813,0.97656,0.000753536,0.000753536,0.000753536
67,104.2,0.89235,0.8111,0.92397,0.866,0.88948,0.89628,0.70407,0.87905,0.70727,0.96978,0.000748036,0.000748036,0.000748036
68,105.732,0.86775,0.75847,0.90546,0.87541,0.88761,0.91259,0.70374,0.8828,0.71558,0.9624,0.000742537,0.000742537,0.000742537
69,107.319,0.86479,0.76836,0.90668,0.841,0.91994,0.90763,0.71233,0.88451,0.70112,0.96801,0.000737037,0.000737037,0.000737037
