Model,Camera,Class,Confidence,Inference Time (ms),Frame Index
yolo11,Cam 0,Crowd,0.8642578125,125.70964000042295,0
yolo11,Cam 0,Crowd,0.85791015625,125.70964000042295,0
yolo11,Cam 0,Crowd,0.4775390625,125.70964000042295,0
yolo11,Cam 0,Crowd,0.451416015625,125.70964000042295,0
yolo11,Cam 0,Crowd,0.420654296875,125.70964000042295,0
yolo11,Cam 0,Crowd,0.403564453125,125.70964000042295,0
yolo11,Cam 0,Crowd,0.271240234375,125.70964000042295,0
yolo11,Cam 0,Crowd,0.87646484375,7.416864995320793,1
yolo11,Cam 0,Crowd,0.86865234375,7.416864995320793,1
yolo11,Cam 0,Crowd,0.50390625,7.416864995320793,1
yolo11,Cam 0,Crowd,0.498046875,7.416864995320793,1
yolo11,Cam 0,Crowd,0.4658203125,7.416864995320793,1
yolo11,Cam 0,Crowd,0.45703125,7.416864995320793,1
yolo11,Cam 0,Crowd,0.28857421875,7.416864995320793,1
yolo11,Cam 0,Crowd,0.8681640625,7.766564995108638,2
yolo11,Cam 0,Crowd,0.85302734375,7.766564995108638,2
yolo11,Cam 0,Crowd,0.5078125,7.766564995108638,2
yolo11,Cam 0,Crowd,0.484375,7.766564995108638,2
yolo11,Cam 0,Crowd,0.47265625,7.766564995108638,2
yolo11,Cam 0,Crowd,0.2666015625,7.766564995108638,2
yolo11,Cam 0,Crowd,0.86865234375,7.189740004832856,3
yolo11,Cam 0,Crowd,0.861328125,7.189740004832856,3
yolo11,Cam 0,Crowd,0.513671875,7.189740004832856,3
yolo11,Cam 0,Crowd,0.501953125,7.189740004832856,3
yolo11,Cam 0,Crowd,0.449462890625,7.189740004832856,3
yolo11,Cam 0,Crowd,0.405517578125,7.189740004832856,3
yolo11,Cam 0,Crowd,0.263671875,7.189740004832856,3
yolo11,Cam 0,Crowd,0.87255859375,6.984125000599306,4
yolo11,Cam 0,Crowd,0.87158203125,6.984125000599306,4
yolo11,Cam 0,Crowd,0.501953125,6.984125000599306,4
yolo11,Cam 0,Crowd,0.5009765625,6.984125000599306,4
yolo11,Cam 0,Crowd,0.45703125,6.984125000599306,4
yolo11,Cam 0,Crowd,0.418701171875,6.984125000599306,4
yolo11,Cam 0,Crowd,0.8642578125,7.344858997385018,5
yolo11,Cam 0,Crowd,0.8623046875,7.344858997385018,5
yolo11,Cam 0,Crowd,0.5048828125,7.344858997385018,5
yolo11,Cam 0,Crowd,0.4931640625,7.344858997385018,5
yolo11,Cam 0,Crowd,0.451416015625,7.344858997385018,5
yolo11,Cam 0,Crowd,0.42626953125,7.344858997385018,5
yolo11,Cam 0,Crowd,0.87255859375,7.097338995663449,6
yolo11,Cam 0,Crowd,0.8671875,7.097338995663449,6
yolo11,Cam 0,Crowd,0.5419921875,7.097338995663449,6
yolo11,Cam 0,Crowd,0.4931640625,7.097338995663449,6
yolo11,Cam 0,Crowd,0.4921875,7.097338995663449,6
yolo11,Cam 0,Crowd,0.4609375,7.097338995663449,6
yolo11,Cam 0,Crowd,0.26904296875,7.097338995663449,6
yolo11,Cam 0,Crowd,0.86865234375,7.025751001492608,7
yolo11,Cam 0,Crowd,0.8642578125,7.025751001492608,7
yolo11,Cam 0,Crowd,0.525390625,7.025751001492608,7
yolo11,Cam 0,Crowd,0.5234375,7.025751001492608,7
yolo11,Cam 0,Crowd,0.494140625,7.025751001492608,7
yolo11,Cam 0,Crowd,0.865234375,7.029592001345009,8
yolo11,Cam 0,Crowd,0.86083984375,7.029592001345009,8
yolo11,Cam 0,Crowd,0.52734375,7.029592001345009,8
yolo11,Cam 0,Crowd,0.490234375,7.029592001345009,8
yolo11,Cam 0,Crowd,0.46484375,7.029592001345009,8
yolo11,Cam 0,Crowd,0.414794921875,7.029592001345009,8
yolo11,Cam 0,Crowd,0.873046875,6.998582000960596,9
yolo11,Cam 0,Crowd,0.861328125,6.998582000960596,9
yolo11,Cam 0,Crowd,0.5546875,6.998582000960596,9
yolo11,Cam 0,Crowd,0.541015625,6.998582000960596,9
yolo11,Cam 0,Crowd,0.46875,6.998582000960596,9
yolo11,Cam 0,Crowd,0.25244140625,6.998582000960596,9
yolo11,Cam 0,Crowd,0.86865234375,7.02665800054092,10
yolo11,Cam 0,Crowd,0.8662109375,7.02665800054092,10
yolo11,Cam 0,Crowd,0.56884765625,7.02665800054092,10
yolo11,Cam 0,Crowd,0.53125,7.02665800054092,10
yolo11,Cam 0,Crowd,0.490234375,7.02665800054092,10
yolo11,Cam 0,Crowd,0.86865234375,6.964569001866039,11
yolo11,Cam 0,Crowd,0.861328125,6.964569001866039,11
yolo11,Cam 0,Crowd,0.556640625,6.964569001866039,11
yolo11,Cam 0,Crowd,0.556640625,6.964569001866039,11
yolo11,Cam 0,Crowd,0.46875,6.964569001866039,11
yolo11,Cam 0,Crowd,0.260498046875,6.964569001866039,11
yolo11,Cam 0,Crowd,0.8671875,7.414421997964382,12
